영화제목,에그지수,성별,연령별,감독/등장인물,관람포인트,실관람평개수
리버,0.0,,,"감독 올리비에 다한, 장 르노, 카미유 나타, 브누아 마지멜, 조니 할리데이, 크리스토퍼 리",영상미가 뛰어나고 몰입하여 보게 되는 영화,0
기프트,0.0,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","감독 그렉 막크스, 쉐인 웨스트, 빙 레임스, 에드워드 번즈",영상미가 뛰어나고 몰입하여 보게 되는 영화,133
해피 뉴 이어,89.0,,"연령별예매 분포: 10대 8%, 20대 30%, 30대 23%, 40대 21%, 50대 17%","감독 곽재용, 조준영, 최수민, 김승훈, 박성일",배우연기가 메소드급인 설렘이 가득한 영화,9053
피드백,,,,,,0
어떤 개인 날,,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","지정남, 감독 이숙경",배우연기가 메소드급인 몰입하여 보게 되는 영화,4
올리 마키의 가장 행복한 날,87.0,"성별예매 분포: 남 56%, 여 44%","연령별예매 분포: 10대 1%, 20대 16%, 30대 31%, 40대 26%, 50대 26%","감독 유호 쿠오스마넨, 우나 아이롤라, 자코 라티, 에로 밀로노프",배우연기가 메소드급인 공감되는 영화,148
램,0.0,"성별예매 분포: 남 60%, 여 40%","연령별예매 분포: 10대 2%, 20대 35%, 30대 41%, 40대 16%, 50대 7%","감독 스티븐 프리어즈, 기욤 카네, 크리스 오다우드, 리 페이스, 벤 포스터",배우연기가 메소드급인 몰입하여 보게 되는 영화,222
대하,,,,,,0
만년이 지나도 변하지 않는 게 있어,81.0,"성별예매 분포: 남 41%, 여 59%","연령별예매 분포: 10대 2%, 20대 30%, 30대 26%, 40대 22%, 50대 20%","감독 구파도, 가진동, 마지상, 왕정, 송운화",배우연기가 메소드급인 감동적인 영화,1697
아이 스틸 빌리브,0.0,"성별예매 분포: 남 43%, 여 57%","연령별예매 분포: 10대 0%, 20대 15%, 30대 26%, 40대 21%, 50대 38%","감독 앤드류 어윈, 감독 존 어윈, K.J. 아파, 브릿 로버트슨, 게리 시나이즈",OST가 명곡인 감동적인 영화,56
클리포드 더 빅 레드 독,92.0,"성별예매 분포: 남 39%, 여 61%","연령별예매 분포: 10대 1%, 20대 8%, 30대 27%, 40대 44%, 50대 21%","감독 월트 베커, 존 클리즈, 시에나 길로리, 신용우, 여민정",스토리가 탄탄하고 기분이 좋아지는 영화,1081
사막을 건너 호수를 지나,,"성별예매 분포: 남 68%, 여 32%","연령별예매 분포: 10대 0%, 20대 9%, 30대 51%, 40대 22%, 50대 18%","감독 박소현, 감독 송영윤, 김지아, 박승규, 고수경",스토리가 탄탄하고 몰입하여 보게 되는 영화,23
장례식의 멤버,,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","감독 백승빈, 유하복, 이주승, 김명신, 김별",배우연기가 메소드급인 몰입하여 보게 되는 영화,8
그녀들의 방,,,,"감독 고태정, 예수정, 정유미",배우연기가 메소드급인 몰입하여 보게 되는 영화,8
